Pgroup,Lp,Pkod,Pname,p_sale_in_time,Psale,Pavarage_stock,Rotation_in_days,Rotation_in_times
CHEMISTRY,1,9907,BREF KULKI 3*50 G,0.00802139,3,0,0,
CHEMISTRY,1,9904,BREF KULKI 3*50 G,0.00802139,3,0,0,
CHEMISTRY,1,9902,BREF KULKI 3*50G,0.00802139,3,0,0,
CHEMISTRY,1,4123,BREF KULKI BLU AKTIV,0.029411765,11,0,0,
CHEMISTRY,1,8865,BREF KULKI BLUE TURK 50 G,0.018716578,7,0,0,
CHEMISTRY,1,9724,BREF KULKI WC,0.016042781,6,0,0,
CHEMISTRY,1,10157,BREF KULKI WC 50 G,0.005347594,2,0,0,
CHEMISTRY,1,18394,BREF KULKI WC CHLORINE,0.002673797,1,0,0,
CHEMISTRY,1,10156,BREF KULKI WC PERFUME,0.010695187,4,0,0,
CHEMISTRY,1,16849,BREF WC KULKI,0.024064171,9,0,0,
CHEMISTRY,1,11712,BROS LEP NA OKNO,0.005347594,2,0,0,
CHEMISTRY,1,10297,BROS PLYN NA KOMARY DLA DZIECI,0.002673797,1,0,0,
CHEMISTRY,1,10298,BROS ZEL LAGODZACY UKASZENIA,0.002673797,1,0,0,
CHEMISTRY,1,9970,CHUST.NAWILZANE NANA 72 SZT,0.018716578,7,0,0,
CHEMISTRY,1,16574,CHUSTECZKI,0.13368984,50,0,0,
CHEMISTRY,1,32,CHUSTECZKI  BABY KINDI 72 SZT,0.021390374,8,0,0,
CHEMISTRY,1,3033,CHUSTECZKI BABY KINDII 60 SZT,0.010695187,4,0,0,
CHEMISTRY,1,13847,CHUSTECZKI CHIGIENICZNE 100+50 GRATIS,0.06684492,25,0,0,
CHEMISTRY,1,15619,CHUSTECZKI DO HIG.INTYMNEJ 20,0.005347594,2,0,0,
CHEMISTRY,1,9856,CHUSTECZKI DO HIG.INTYMNEJ BELLA A20 SEN,0.00802139,3,0,0,
CHEMISTRY,1,17206,CHUSTECZKI HAPPY,0.010695187,4,0,0,
CHEMISTRY,1,17045,CHUSTECZKI HAPPY NAS. 64 SZT,0.010695187,4,0,0,
CHEMISTRY,1,15332,CHUSTECZKI HAPPY NASACZ.64 SZT,0.010695187,4,0,0,
CHEMISTRY,1,18575,CHUSTECZKI HAPPY NO 1,1.061497326,397,0,0,
CHEMISTRY,1,1867,CHUSTECZKI MEA 100 SZT,0.016042781,6,0,0,
CHEMISTRY,1,9185,CHUSTECZKI NAS.64 SZT,0.024064171,9,0,0,
CHEMISTRY,1,9184,CHUSTECZKI NASA.56 SZT HAPPY,0.013368984,5,0,0,
CHEMISTRY,1,8178,CHUSTECZKI NASACZ.DO DZIECI 72 SZT,0.005347594,2,0,0,
CHEMISTRY,1,8144,CIENKOPISY  6 KOLOR,0.002673797,1,0,0,
CHEMISTRY,1,10936,CIF LEMON NEW 500ML,0.002673797,1,0,0,
CHEMISTRY,1,3797,CLIN 500 ML Z ROSPL APPLA,0.00802139,3,0,0,
CHEMISTRY,1,2158,CLIN DO SZYB 500 ML Z DOZOWNIKIEM,0.048128342,18,0,0,
CHEMISTRY,1,19335,CLIN LEMON 500 ML Z DOZ.,0.056149733,21,0,0,
CHEMISTRY,1,2906,CLIN ZAPAS 500 ML,0.042780749,16,0,0,
CHEMISTRY,1,8005,COLGATE SZCZOTECZKA PLUS MEDIUM,0.021390374,8,0,0,
CHEMISTRY,1,5480,COLGATE SZCZOTECZKA ZIG ZAG,0.013368984,5,0,0,
CHEMISTRY,1,8125,CYRKIEL,0.005347594,2,0,0,
CHEMISTRY,1,5213,DA JOGURT ALE PITNY TRUS.290 G,0.034759358,13,0,0,
CHEMISTRY,1,17539,DENATURAT 0.5 L BIALY,0.013368984,5,0,0,
CHEMISTRY,1,4338,DENATURAT 0.5 ML,0.026737968,10,0,0,
CHEMISTRY,1,17460,DENATURAT 500ML BOS,0.002673797,1,0,0,
CHEMISTRY,1,8133,DLUGOPIS 6 KOLOR,0.005347594,2,0,0,
CHEMISTRY,1,16425,DLUGOPIS KOLOR,0.002673797,1,0,0,
CHEMISTRY,1,6266,DLUGOPIS Z DODATKIEM,0.002673797,1,0,0,
CHEMISTRY,1,9975,DO PIELEGNACJI MEBLI 400ML GOLD WAX,0.005347594,2,0,0,
CHEMISTRY,1,17591,DOMESTOS 750 ML ATLANTIC,0.005347594,2,0,0,
CHEMISTRY,1,8859,DOMESTOS 750 ML LIME ZERO,0.005347594,2,0,0,
CHEMISTRY,1,5727,DOMESTOS ZIELONY 750 ML,0.005347594,2,0,0,
CHEMISTRY,1,9218,DRUCIAK 1 SZT,0.021390374,8,0,0,
CHEMISTRY,1,9045,DRUCIAK SPIRALNY,0.032085561,12,0,0,
CHEMISTRY,1,9575,E DO PLUKANIA 0.9 L,0.016042781,6,0,0,
CHEMISTRY,1,8188,E DO PLUKANIA 1.8 L KONC,0.016042781,6,0,0,
CHEMISTRY,1,8187,E DO PLUKANIA 2 L KONC,0.016042781,6,0,0,
CHEMISTRY,1,3579,E PLYN DO PLUKANIA 1 L,0.016042781,6,0,0,
CHEMISTRY,1,9932,E PROSZEK 1.4 KG,0.005347594,2,0,0,
CHEMISTRY,1,9573,E PROSZEK 4.9 KG,0.005347594,2,0,0,
CHEMISTRY,1,9931,E ZEL DO PRANIA COLOR 1 L,0.005347594,2,0,0,
CHEMISTRY,1,8848,EVA MYDLO W PLYNIE 500 ML Z DOZOWNIKIEM,0.024064171,9,0,0,
CHEMISTRY,1,8181,EVA MYDLO W PLYNIE Z DOZOW 500 ML,0.002673797,1,0,0,
CHEMISTRY,1,8182,EVA MYDLO W PLYNIE Z DOZOW 500 ML,0.002673797,1,0,0,
CHEMISTRY,1,5571,EVA SIMPLA ZEL DO MYCIA 500 ML,0.002673797,1,0,0,
CHEMISTRY,1,8028,EVA SIMPLE 500 ML SZAMPON Z JEDWABIEM,0.005347594,2,0,0,
CHEMISTRY,1,8026,EVA SIMPLE 500 ML Z OWSEM,0.002673797,1,0,0,
CHEMISTRY,1,8029,EVA SIMPLE SZAMPON 500 ML Z JEMIO?A,0.002673797,1,0,0,
CHEMISTRY,1,8027,EVA SIMPLE SZAMPON 500 ML Z LANOLINA,0.002673797,1,0,0,
CHEMISTRY,1,5573,EVA SIMPLE ZEL DO MYCIA CIALA 500 ML,0.002673797,1,0,0,
CHEMISTRY,1,9188,EWA BALSAM DO OPALANIA 200 ML SOFT,0.005347594,2,0,0,
CHEMISTRY,1,9191,EWA KREM OCHRONNY 25 ML,0.005347594,2,0,0,
CHEMISTRY,1,10242,EWA MYDLO 500 G Z DOZOWNIKIEM ALOES,0.005347594,2,0,0,
CHEMISTRY,1,9183,EWA SZAMOPN BRZOZA 400 ML,0.018716578,7,0,0,
CHEMISTRY,1,9408,EWA SZAMPON POTROJNA SILA ZI? 400 ML,0.00802139,3,0,0,
CHEMISTRY,1,5032,EWA SZAMPON ZIOLA 400 ML,0.005347594,2,0,0,
CHEMISTRY,1,4950,FAIRY 1 L APPLE,0.021390374,8,0,0,
CHEMISTRY,1,13769,FAIRY 500 ML CYTRYNA,0.024064171,9,0,0,
CHEMISTRY,1,8122,FARBY PLAKATOWE 6 KOLOR,0.013368984,5,0,0,
CHEMISTRY,1,8139,FLAMASTRY 12 SZT,0.002673797,1,0,0,
CHEMISTRY,1,16685,FOLIA ALUMINIOWA 10 M,0.013368984,5,0,0,
CHEMISTRY,1,18817,FOLIA ALUMINIOWA 10 M ANNA,0.016042781,6,0,0,
CHEMISTRY,1,7112,FOLIA ALUMINIOWA 10M PAN PACK,0.20855615,78,0,0,
CHEMISTRY,1,8862,FOLIA ALUMINIOWA 20 M,0.06684492,25,0,0,
CHEMISTRY,1,17796,FOLIA ALUMINIOWA 20 M,0.013368984,5,0,0,
CHEMISTRY,1,14145,FOLIA SPOZYWCZA 30M PACLAN,0.024064171,9,0,0,
CHEMISTRY,1,19256,GABKA DO KAPIELI,0.029411765,11,0,0,
CHEMISTRY,1,18440,GABKA DO KAPIELI I MASAZU,0.050802139,19,0,0,
CHEMISTRY,1,10791,GAZA OPATRUNKOWA 1 M,0.002673797,1,0,0,
CHEMISTRY,1,593,GILELETTE PIANKA DO GOLENIA,0.010695187,4,0,0,
CHEMISTRY,1,8006,GILLETTE BLU 3,0.00802139,3,0,0,
CHEMISTRY,1,545,GILLETTE MASZYNKA BLU 2 PLUS,0.28342246,106,0,0,
CHEMISTRY,1,6849,GILLETTE PIANKA DO GOL MAN,0.002673797,1,0,0,
CHEMISTRY,1,6847,GILLETTE PIANKA DO GOL.MAN,0.013368984,5,0,0,
CHEMISTRY,1,16138,GILLETTE PIANKA DO GOLENIA 200 ML,0.005347594,2,0,0,
CHEMISTRY,1,16383,GILLETTE ZEL  SKORA WRAZLIWA,0.00802139,3,0,0,
CHEMISTRY,1,15367,GILZY GOLDEN 100+15 A^,0.14973262,56,0,0,
CHEMISTRY,1,10266,GLOW 750 ML DO LAZIENEK,0.002673797,1,0,0,
CHEMISTRY,1,10212,GOLARKA GILLETTE 3 1 SZT,0.010695187,4,0,0,
CHEMISTRY,1,6985,GOLARKA WILKINSON XTREME 3,0.328877005,123,0,0,
CHEMISTRY,1,6712,GRA PODROZNA WIEZOWIEC,0.002673797,1,0,0,
CHEMISTRY,1,1874,GUMA ORBIT 5 LIST.,0.069518717,26,0,0,
CHEMISTRY,1,4227,GUMKA DO MAZANIA,0.002673797,1,0,0,
