ID,Date,zn,sb,tax,marza
72,07/03/2018,1957.29,2820.88,360.8,502.79
73,08/03/2018,2083.1,3000.42,411.94,505.38
74,09/03/2018,2175.99,3096.25,417.75,502.51
75,10/03/2018,2781.1,4022.61,517.5,724.01
76,11/03/2018,2873.67,4304.73,663.86,767.2
77,12/03/2018,1753.89,2513.36,313.81,445.66
78,13/03/2018,1966.78,2840.93,350.43,523.72
79,14/03/2018,1672.88,2407.96,306.12,428.96
80,15/03/2018,1843.19,2690.64,343.96,503.49
81,16/03/2018,2229.45,3254.54,405.22,619.87
82,17/03/2018,2674.75,3825.54,452.47,698.32
83,18/03/2018,1482.25,2196.45,316.97,397.23
84,19/03/2018,2077.63,2995.92,361.06,557.23
85,20/03/2018,2123.95,3056.16,392.57,539.64
86,21/03/2018,2083.35,3049.4,392.63,573.42
87,22/03/2018,1949.37,2750.17,338.77,462.03
88,23/03/2018,2382.71,3447.65,459.3,605.64
89,24/03/2018,2587.33,3756.3,486.41,682.56
90,25/03/2018,949.74,1397.6,213.55,234.31
91,26/03/2018,2129.86,3030.32,373.33,527.13
92,27/03/2018,2439.08,3507.32,436.87,631.37
93,28/03/2018,2505.3,3576.26,449.42,621.54
94,29/03/2018,3629.22,5273.42,694.12,950.08
95,30/03/2018,3690.63,5353.31,678.08,984.6
96,31/03/2018,3769.29,5340.24,673.78,897.17
97,03/04/2018,2123.69,2968.66,424.76,420.21
98,04/04/2018,2011.55,2909.58,400.87,497.16
99,05/04/2018,1968.16,2736.23,356.65,411.42
100,06/04/2018,2183.61,3116.66,423.58,509.47
101,07/04/2018,2677.37,3834.9,467.35,690.18
102,08/04/2018,1722.98,2540.19,380.46,436.75
103,09/04/2018,2055.83,2957.19,373.24,528.12
104,10/04/2018,2283.48,3274.03,432.55,558
105,11/04/2018,2032.95,2950.7,393.85,523.9
106,12/04/2018,2169.32,3141.08,401.66,570.1
107,13/04/2018,2550.92,3711.75,488.61,672.22
108,14/04/2018,2833.32,4035.74,494.99,707.43
109,15/04/2018,1961,2891.27,394.3,535.97
110,16/04/2018,2197.41,3179.02,405.11,576.5
111,17/04/2018,1997.59,2881.29,389.67,494.03
112,18/04/2018,2286.72,3311.25,445.38,579.15
113,19/04/2018,2075.3,3017.22,394.3,547.62
114,20/04/2018,2715.7,3970.38,535.44,719.24
115,21/04/2018,3363.06,4816.65,642.36,811.23
116,22/04/2018,1992.81,2994.49,446.6,555.08
117,23/04/2018,2289.79,3235.58,415.31,530.48
118,24/04/2018,2068.68,2937.94,397.76,471.5
119,25/04/2018,2115.05,2994.38,393.94,485.39
120,26/04/2018,3767.15,5400.46,685.2,948.11
121,27/04/2018,2672.15,3787.22,476.32,638.75
122,28/04/2018,3235.62,4628.85,557.39,835.84
123,29/04/2018,1496.1,2176.83,325.46,355.27
124,30/04/2018,3366.93,4780.18,571.15,842.1
125,01/05/2018,2316.85,3406.41,504.35,585.21
126,02/05/2018,3463.29,4897.15,619.43,814.43
127,03/05/2018,1966.32,2915.78,407.25,542.21
128,04/05/2018,2937.05,4145.83,542.55,666.23
129,05/05/2018,3317.53,4840.66,652.96,870.17
130,06/05/2018,1537.54,2237.83,324.5,375.79
131,07/05/2018,2572.63,3659.54,445.78,641.13
132,08/05/2018,2445.57,3448.15,416.21,586.37
133,09/05/2018,2334.53,3332.45,423.85,574.07
134,10/05/2018,2672.22,3880.65,482.63,725.8
135,11/05/2018,2817.14,4081.17,520.39,743.64
136,12/05/2018,3509.02,5110.99,623.07,978.9
137,13/05/2018,2527.79,3749.23,526.23,695.21
138,14/05/2018,2452.13,3495.13,452.34,590.66
139,15/05/2018,2572.72,3600.05,448.35,578.98
140,16/05/2018,2134.15,3057.95,388.67,535.13
141,17/05/2018,2206.26,3136.34,368.16,561.92
142,18/05/2018,2796.9,3972.59,506.36,669.33
143,19/05/2018,3171.72,4592.7,593.77,827.21
144,20/05/2018,1924.62,2846.19,414.54,507.03
145,21/05/2018,2155.06,3066.76,369.2,542.5
146,22/05/2018,2279.34,3247.53,389.74,578.45
147,23/05/2018,2243.79,3224.31,392.65,587.87
148,24/05/2018,2374.4,3546.75,426.2,746.15
149,25/05/2018,3176.8,4594.62,601.71,816.11
150,26/05/2018,3668.88,5376.94,676.28,1031.78
151,27/05/2018,1661.09,2481.94,340.8,480.05
152,28/05/2018,2304.97,3343.22,403.57,634.68
153,29/05/2018,2309.83,3363.99,395.26,658.9
154,30/05/2018,3299.84,4816.34,565.64,950.86
155,31/05/2018,763.98,1156.74,161.04,231.72
156,01/06/2018,2931.78,4242.5,536.59,774.13
157,02/06/2018,3151.48,4620.12,590.84,877.8
