id,id_Date,Date,PKod,Pgroup,Pname,Pquantity,pce_zn,pwa_zn,pce_sn,pwa_sn,pce_sb,pwa_sb,pudzsb,pmarza,pmarzajedn,pkwmarza,pudzmarza,id
329,7,01/01/2018,992,SPICES,GALEO PAPRYKA OSTRA 20G,1,0.64,0.64,1.13,1.13,1.39,1.39,0,43.36,0.49,0.49,0.01,
330,7,01/01/2018,993,SPICES,GALEO PAPRYKA SLODKA 16 G,3,0.77,2.31,1.13,3.39,1.39,4.17,0,31.86,0.36,1.08,0.01,
331,7,01/01/2018,4836,SPICES,GALEO PIEPRZ CZARNY MIELONY,7,0.7,4.9,1.13,7.91,1.39,9.73,0.01,38.05,0.43,3.01,0.03,
332,7,01/01/2018,3569,SPICES,GALEO PIEPRZ ZIOLOWY 12 G,4,0.9,3.6,1.19,4.76,1.29,5.16,0.01,24.37,0.29,1.16,0.01,
333,7,01/01/2018,1001,SPICES,GALEO PRZYP/DO KURCZAKA 25G,3,0.8,2.4,1.29,3.87,1.39,4.17,0,37.98,0.49,1.47,0.02,
334,7,01/01/2018,999,SPICES,GALEO PRZYPRAWA DO FLAKOW 20G,1,0.89,0.89,1.19,1.19,1.29,1.29,0,25.21,0.3,0.3,0,
335,7,01/01/2018,8567,SPICES,GALEO PRZYPRAWA DO RYB CYTRYNA,2,0.88,1.76,1.29,2.58,1.39,2.78,0,31.78,0.41,0.82,0.01,
336,7,01/01/2018,13001,SPICES,GALEO PRZYPRAWA DO ZIEMNIAKOW,5,0.88,4.4,1.19,5.95,1.29,6.45,0.01,26.05,0.31,1.55,0.02,
337,7,01/01/2018,3517,SPICES,GALEO SODA OCZYSZCZONA 24 GG,2,0.49,0.98,0.72,1.44,0.89,1.78,0,31.94,0.23,0.46,0,
338,7,01/01/2018,997,SPICES,GALEO ZIELE ANGIELSKIE 12G,9,0.79,7.11,1.05,9.45,1.29,11.61,0.01,24.76,0.26,2.34,0.02,
339,7,01/01/2018,5505,SPICES,GALEO ZIOLA PROWANSALSKIE 10GR,4,0.7,2.8,1.19,4.76,1.29,5.16,0.01,41.18,0.49,1.96,0.02,
340,7,01/01/2018,3868,GENERAL_FOOD,GELLWE CUKIER WANILIOWY 15G,10,0.45,4.5,0.64,6.4,0.79,7.9,0.01,29.69,0.19,1.9,0.02,
341,7,01/01/2018,18549,CHIPS_FLAKES,GELLWE FITELLA MUSLI BANANOWE,1,0.83,0.83,1.32,1.32,1.39,1.39,0,37.12,0.49,0.49,0.01,
342,7,01/01/2018,18550,CHIPS_FLAKES,GELLWE FITELLA MUSLI TROPIKALNE,2,0.83,1.66,1.32,2.64,1.39,2.78,0,37.12,0.49,0.98,0.01,
343,7,01/01/2018,18551,CHIPS_FLAKES,GELLWE FITELLA MUSLI TRUSKAWKA,1,0.83,0.83,1.32,1.32,1.39,1.39,0,37.12,0.49,0.49,0.01,
344,7,01/01/2018,4574,GENERAL_FOOD,GELLWE GALARETKA AGREST 79G,1,0.94,0.94,1.47,1.47,1.59,1.59,0,36.05,0.53,0.53,0.01,
345,7,01/01/2018,16803,GENERAL_FOOD,GELLWE KISIEL CYTRYNOWY 38G,9,0.55,4.95,0.82,7.38,0.89,8.01,0.01,32.93,0.27,2.43,0.03,
346,7,01/01/2018,8912,SPICES,GELLWE SODA OCZYSZCZONA 80G,1,0.45,0.45,0.79,0.79,0.97,0.97,0,43.04,0.34,0.34,0,
347,7,01/01/2018,8536,GENERAL_FOOD,GELLWE ZELATYNA 20 G,4,1.39,5.56,1.99,7.96,2.15,8.6,0.01,30.15,0.6,2.4,0.02,
348,7,01/01/2018,545,CHEMISTRY,GILLETTE MASZYNKA BLU 2 PLUS,26,1.53,39.78,2.16,56.16,2.66,69.16,0.08,29.17,0.63,16.38,0.17,
349,7,01/01/2018,15654,CIGARETTES,GILZT GAPARD 100+25,6,1.29,7.74,1.54,9.24,1.89,11.34,0.01,16.23,0.25,1.5,0.02,
350,7,01/01/2018,12580,CIGARETTES,GILZY GULIWER 300+50GRAT,5,3.61,18.07,4.16,20.78,5.11,25.55,0.03,13.04,0.54,2.71,0.03,
351,7,01/01/2018,8472,CIGARETTES,GILZY PS 250 SZT,4,2.98,11.92,3.55,14.2,4.37,17.48,0.02,16.06,0.57,2.28,0.02,
352,7,01/01/2018,18960,GENERAL_FOOD,GLUGOPIS Z CUKIERKAMI,1,3.76,3.76,6.27,6.27,7.71,7.71,0.01,40.03,2.51,2.51,0.03,
353,7,01/01/2018,10454,SWEETS,GOFRY KOKOS 100,3,2.14,6.42,2.84,8.52,3.49,10.47,0.01,24.65,0.7,2.1,0.02,
354,7,01/01/2018,10687,SWEETS,GOFRY SEZAM 100 G,8,2.14,17.12,2.84,22.72,3.49,27.92,0.03,24.65,0.7,5.6,0.06,
355,7,01/01/2018,10452,SWEETS,GOFRY SLODKIE 100 G,14,2.14,29.96,2.84,39.76,3.49,48.86,0.05,24.65,0.7,9.8,0.1,
356,7,01/01/2018,8395,GENERAL,GOLARKA VENUS 2 SZT,1,2.04,2.04,4.38,4.38,5.39,5.39,0.01,53.42,2.34,2.34,0.02,
357,7,01/01/2018,13943,SWEETS,GOPL CZEKOLADA GORZKA 90 G,11,1.99,21.89,2.76,30.36,3.39,37.29,0.04,27.9,0.77,8.47,0.09,
358,7,01/01/2018,1290,SWEETS,GOPL CZEKOLADA MLECZNA 90G,9,1.99,17.91,2.76,24.84,3.39,30.51,0.03,27.9,0.77,6.93,0.07,
359,7,01/01/2018,7899,SWEETS,GOPL PRALINY JEY ME 27 G,1,0.84,0.84,1.37,1.37,1.69,1.69,0,38.69,0.53,0.53,0.01,
360,7,01/01/2018,18187,SWEETS,GOPL/CUKIERKI MIETA 90G,2,1.05,2.1,1.46,2.92,1.79,3.58,0,28.08,0.41,0.82,0.01,
361,7,01/01/2018,17971,SWEETS,GOPL/LANDRYNY BRANDO 90G,8,1.04,8.35,1.46,11.68,1.79,14.32,0.02,28.51,0.42,3.33,0.03,
362,7,01/01/2018,17970,SWEETS,GOPLANA EXTRA MIETA EXTRA MOCNE,9,0.92,8.28,1.37,12.33,1.69,15.21,0.02,32.85,0.45,4.05,0.04,
363,7,01/01/2018,1374,DAIRY_CHESSE,GOS/MASLANKA NATURALNA,23,2.29,52.67,2.85,65.55,2.99,68.77,0.08,19.65,0.56,12.88,0.13,
364,7,01/01/2018,374,DAIRY_CHESSE,GOS/MASLO 250G GOSTYN,396,6.26,2477.68,6.63,2624.04,6.95,2754.08,3.09,5.58,0.37,146.36,1.51,
365,7,01/01/2018,1373,DAIRY_CHESSE,GOS/MLEKO CODZIENNE 2_%,218,2.15,468.7,2.61,569.24,2.74,597.1,0.67,17.66,0.46,100.54,1.04,
366,7,01/01/2018,1359,DAIRY_CHESSE,GOS/MLEKO KAJMAK WANILIOWE 510 G,1,6.14,6.14,3.86,3.86,4.05,4.05,0,-59.07,-2.28,-2.28,-0.02,
367,7,01/01/2018,16983,DAIRY_CHESSE,GOS/MLEKO PUSZKA 510 GR KRWKOWE S?/ZAG,1,4.89,4.89,7.61,7.61,7.99,7.99,0.01,35.74,2.72,2.72,0.03,
368,7,01/01/2018,3147,DAIRY_CHESSE,GOS/MLEKO TUBA KAKAO GOSTYN,9,2.59,23.31,3.42,30.78,3.59,32.31,0.04,24.27,0.83,7.47,0.08,
369,7,01/01/2018,1177,DAIRY_CHESSE,GOS/MLEKO UHT 2% 0_5L GOSTYN,15,1.46,21.9,2.09,31.35,2.19,32.85,0.04,30.14,0.63,9.45,0.1,
370,7,01/01/2018,1174,DAIRY_CHESSE,GOS/MLEKO UHT 2% 1L GOSTYN,31,2.32,71.9,3.08,95.47,3.24,100.35,0.11,24.69,0.76,23.57,0.24,
371,7,01/01/2018,1176,DAIRY_CHESSE,GOS/MLEKO UHT 3_2% 0_5L GOSTYN,21,1.55,32.55,2.09,43.89,2.19,45.99,0.05,25.84,0.54,11.34,0.12,
372,7,01/01/2018,1175,DAIRY_CHESSE,GOS/MLEKO UHT 3_2% 1L GOSTYN,38,2.38,90.44,3.22,122.37,3.38,128.45,0.14,26.09,0.84,31.93,0.33,
373,7,01/01/2018,15590,DAIRY_CHESSE,GOS/MLEKO Z BLONIKIEM 500G,16,3.52,56.32,4.61,73.76,4.84,77.44,0.09,23.64,1.09,17.44,0.18,
374,7,01/01/2018,1172,DAIRY_CHESSE,GOS/MLEKO ZAG/ NIESL/200G GOSTYN,8,1.44,11.52,2.09,16.72,2.19,17.52,0.02,31.1,0.65,5.2,0.05,
375,7,01/01/2018,1173,DAIRY_CHESSE,GOS/MLEKO ZAGESZCZ/500ML GOSTYN,2,3.18,6.36,3.8,7.6,3.99,7.98,0.01,16.32,0.62,1.24,0.01,
376,7,01/01/2018,9391,DAIRY_CHESSE,GOS/MLEKO ZAGESZCZ/NIE/S?/Z MAGNEZEM 500,13,3.25,42.25,4.95,64.35,5.2,67.6,0.08,34.34,1.7,22.1,0.23,
377,7,01/01/2018,1477,DAIRY_CHESSE,GOS/MLEKO ZAGESZCZ/SLODZONE 533G,1,5.09,5.09,6.62,6.62,6.95,6.95,0.01,23.11,1.53,1.53,0.02,
378,7,01/01/2018,1178,DAIRY_CHESSE,GOS/SMIETANKA 12% 250ML GOSTYN,62,1.48,91.76,2.35,145.7,2.47,153.14,0.17,37.02,0.87,53.94,0.56,
379,7,01/01/2018,1179,DAIRY_CHESSE,GOS/SMIETANKA 18% 250ML GOSTYN,57,1.76,100.32,2.47,140.79,2.59,147.63,0.17,28.74,0.71,40.47,0.42,
380,7,01/01/2018,3829,DAIRY_CHESSE,GOS/SMIETANKA 30% 1L GOSTYN,5,6.11,30.55,5.33,26.65,5.59,27.97,0.03,-14.63,-0.78,-3.9,-0.04,
